タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
jpigp_cor:NotesTradePayables3ConsolidatedFinancialStatementsIFRSTextBlock,注記事項－買入債務、連結財務諸表（IFRS） [テキストブロック],Notes - Trade payables,"Notes - Trade payables 3, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesBondsAndBorrowingsConsolidatedFinancialStatementsIFRSHeading,注記事項－社債及び借入金、連結財務諸表（IFRS） [目次項目],Notes - Bonds and borrowings,"Notes - Bonds and borrowings, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesBondsAndBorrowingsConsolidatedFinancialStatementsIFRSTextBlock,注記事項－社債及び借入金、連結財務諸表（IFRS） [テキストブロック],Notes - Bonds and borrowings,"Notes - Bonds and borrowings, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesBondsPayableConsolidatedFinancialStatementsIFRSHeading,注記事項－社債、連結財務諸表（IFRS） [目次項目],Notes - Bonds payable,"Notes - Bonds payable, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesBondsPayableConsolidatedFinancialStatementsIFRSTextBlock,注記事項－社債、連結財務諸表（IFRS） [テキストブロック],Notes - Bonds payable,"Notes - Bonds payable, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesBorrowingsConsolidatedFinancialStatementsIFRSHeading,注記事項－借入金、連結財務諸表（IFRS） [目次項目],Notes - Borrowings,"Notes - Borrowings, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesBorrowingsConsolidatedFinancialStatementsIFRSTextBlock,注記事項－借入金、連結財務諸表（IFRS） [テキストブロック],Notes - Borrowings,"Notes - Borrowings, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesInterestBearingLiabilitiesConsolidatedFinancialStatementsIFRSHeading,注記事項－有利子負債、連結財務諸表（IFRS） [目次項目],Notes - Interest-bearing liabilities,"Notes - Interest-bearing liabilities, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesInterestBearingLiabilitiesConsolidatedFinancialStatementsIFRSTextBlock,注記事項－有利子負債、連結財務諸表（IFRS） [テキストブロック],Notes - Interest-bearing liabilities,"Notes - Interest-bearing liabilities, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesOtherFinancialLiabilitiesConsolidatedFinancialStatementsIFRSHeading,注記事項－その他の金融負債、連結財務諸表（IFRS） [目次項目],Notes - Other financial liabilities,"Notes - Other financial liabilities, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesOtherFinancialLiabilitiesConsolidatedFinancialStatementsIFRSTextBlock,注記事項－その他の金融負債、連結財務諸表（IFRS） [テキストブロック],Notes - Other financial liabilities,"Notes - Other financial liabilities, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesDeferredIncomeConsolidatedFinancialStatementsIFRSHeading,注記事項－繰延収益、連結財務諸表（IFRS） [目次項目],Notes - Deferred income,"Notes - Deferred income, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesDeferredIncomeConsolidatedFinancialStatementsIFRSTextBlock,注記事項－繰延収益、連結財務諸表（IFRS） [テキストブロック],Notes - Deferred income,"Notes - Deferred income, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesGovernmentGrantsConsolidatedFinancialStatementsIFRSHeading,注記事項－政府補助金、連結財務諸表（IFRS） [目次項目],Notes - Government grants,"Notes - Government grants, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesGovernmentGrantsConsolidatedFinancialStatementsIFRSTextBlock,注記事項－政府補助金、連結財務諸表（IFRS） [テキストブロック],Notes - Government grants,"Notes - Government grants, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesProvisionsConsolidatedFinancialStatementsIFRSHeading,注記事項－引当金、連結財務諸表（IFRS） [目次項目],Notes - Provisions,"Notes - Provisions, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesProvisionsConsolidatedFinancialStatementsIFRSTextBlock,注記事項－引当金、連結財務諸表（IFRS） [テキストブロック],Notes - Provisions,"Notes - Provisions, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesOtherCurrentLiabilitiesAndOtherNonCurrentLiabilitiesConsolidatedFinancialStatementsIFRSHeading,注記事項－その他の流動負債及びその他の非流動負債、連結財務諸表（IFRS） [目次項目],Notes - Other current liabilities and other non-current liabilities,"Notes - Other current liabilities and other non-current liabilities, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesOtherCurrentLiabilitiesAndOtherNonCurrentLiabilitiesConsolidatedFinancialStatementsIFRSTextBlock,注記事項－その他の流動負債及びその他の非流動負債、連結財務諸表（IFRS） [テキストブロック],Notes - Other current liabilities and other non-current liabilities,"Notes - Other current liabilities and other non-current liabilities, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesOtherCurrentLiabilitiesConsolidatedFinancialStatementsIFRSHeading,注記事項－その他の流動負債、連結財務諸表（IFRS） [目次項目],Notes - Other current liabilities,"Notes - Other current liabilities, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesOtherCurrentLiabilitiesConsolidatedFinancialStatementsIFRSTextBlock,注記事項－その他の流動負債、連結財務諸表（IFRS） [テキストブロック],Notes - Other current liabilities,"Notes - Other current liabilities, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesOtherNonCurrentLiabilitiesConsolidatedFinancialStatementsIFRSHeading,注記事項－その他の非流動負債、連結財務諸表（IFRS） [目次項目],Notes - Other non-current liabilities,"Notes - Other non-current liabilities, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesOtherNonCurrentLiabilitiesConsolidatedFinancialStatementsIFRSTextBlock,注記事項－その他の非流動負債、連結財務諸表（IFRS） [テキストブロック],Notes - Other non-current liabilities,"Notes - Other non-current liabilities, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesOtherLabilitiesConsolidatedFinancialStatementsIFRSHeading,注記事項－その他の負債、連結財務諸表（IFRS） [目次項目],Notes - Other labilities,"Notes - Other labilities, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesOtherLabilitiesConsolidatedFinancialStatementsIFRSTextBlock,注記事項－その他の負債、連結財務諸表（IFRS） [テキストブロック],Notes - Other labilities,"Notes - Other labilities, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesShareCapitalAndOtherEquityItemsConsolidatedFinancialStatementsIFRSHeading,注記事項－資本金及びその他の資本項目、連結財務諸表（IFRS） [目次項目],Notes - Share capital and other equity items,"Notes - Share capital and other equity items, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesShareCapitalAndOtherEquityItemsConsolidatedFinancialStatementsIFRSTextBlock,注記事項－資本金及びその他の資本項目、連結財務諸表（IFRS） [テキストブロック],Notes - Share capital and other equity items,"Notes - Share capital and other equity items, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesEquityConsolidatedFinancialStatementsIFRSHeading,注記事項－資本、連結財務諸表（IFRS） [目次項目],Notes - Equity,"Notes - Equity, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesEquityConsolidatedFinancialStatementsIFRSTextBlock,注記事項－資本、連結財務諸表（IFRS） [テキストブロック],Notes - Equity,"Notes - Equity, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesOtherComponentsOfEquityAndOtherComprehensiveIncomeConsolidatedFinancialStatementsIFRSHeading,注記事項－その他の資本の構成要素及びその他の包括利益、連結財務諸表（IFRS） [目次項目],Notes - Other components of equity and other comprehensive income,"Notes - Other components of equity and other comprehensive income, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesOtherComponentsOfEquityAndOtherComprehensiveIncomeConsolidatedFinancialStatementsIFRSTextBlock,注記事項－その他の資本の構成要素及びその他の包括利益、連結財務諸表（IFRS） [テキストブロック],Notes - Other components of equity and other comprehensive income,"Notes - Other components of equity and other comprehensive income, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesOtherComponentsOfEquityConsolidatedFinancialStatementsIFRSHeading,注記事項－その他の資本の構成要素、連結財務諸表（IFRS） [目次項目],Notes - Other components of equity,"Notes - Other components of equity, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesOtherComponentsOfEquityConsolidatedFinancialStatementsIFRSTextBlock,注記事項－その他の資本の構成要素、連結財務諸表（IFRS） [テキストブロック],Notes - Other components of equity,"Notes - Other components of equity, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesAccumulatedOtherComprehensiveIncomeAndOtherComprehensiveIncomeConsolidatedFinancialStatementsIFRSHeading,注記事項－その他の包括利益累計額及びその他の包括利益、連結財務諸表（IFRS） [目次項目],Notes - Accumulated other comprehensive income and other comprehensive income,"Notes - Accumulated other comprehensive income and other comprehensive income, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesAccumulatedOtherComprehensiveIncomeAndOtherComprehensiveIncomeConsolidatedFinancialStatementsIFRSTextBlock,注記事項－その他の包括利益累計額及びその他の包括利益、連結財務諸表（IFRS） [テキストブロック],Notes - Accumulated other comprehensive income and other comprehensive income,"Notes - Accumulated other comprehensive income and other comprehensive income, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesDividendsConsolidatedFinancialStatementsIFRSHeading,注記事項－配当金、連結財務諸表（IFRS） [目次項目],Notes - Dividends,"Notes - Dividends, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesDividendsConsolidatedFinancialStatementsIFRSTextBlock,注記事項－配当金、連結財務諸表（IFRS） [テキストブロック],Notes - Dividends,"Notes - Dividends, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesRevenueConsolidatedFinancialStatementsIFRSHeading,注記事項－売上収益、連結財務諸表（IFRS） [目次項目],Notes - Revenue,"Notes - Revenue, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesRevenueConsolidatedFinancialStatementsIFRSTextBlock,注記事項－売上収益、連結財務諸表（IFRS） [テキストブロック],Notes - Revenue,"Notes - Revenue, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesRevenue2ConsolidatedFinancialStatementsIFRSHeading,注記事項－収益、連結財務諸表（IFRS） [目次項目],Notes - Revenue,"Notes - Revenue 2, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesRevenue2ConsolidatedFinancialStatementsIFRSTextBlock,注記事項－収益、連結財務諸表（IFRS） [テキストブロック],Notes - Revenue,"Notes - Revenue 2, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesNetSalesConsolidatedFinancialStatementsIFRSHeading,注記事項－売上高、連結財務諸表（IFRS） [目次項目],Notes - Net sales,"Notes - Net sales, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesNetSalesConsolidatedFinancialStatementsIFRSTextBlock,注記事項－売上高、連結財務諸表（IFRS） [テキストブロック],Notes - Net sales,"Notes - Net sales, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesConstructionContractsConsolidatedFinancialStatementsIFRSHeading,注記事項－工事契約、連結財務諸表（IFRS） [目次項目],Notes - Construction contracts,"Notes - Construction contracts, Consolidated financial statements (IFRS) [heading]"
